City,Quality_Index,Notes
Mumbai,140,Example rating
Bengaluru,135,Example rating
Kozhikode,100,
Hyderabad,125,Example rating
Patna,100,
Delhi,100,Example rating
Pune,120,Example rating
Kolkata,105,Example rating
Ahmedabad,100,
Coimbatore,100,
Chennai,115,Example rating
Raipur,100,
Bhubaneswar,100,
Jaipur,100,
Rajkot,100,
Bhopal,100,
Jabalpur,100,
Sangli,100,
Agra,100,
Thrissur,100,
Salem,100,
Mysuru,100,
Kollam,100,
Nagpur,100,
Kolhapur,100,
Lucknow,100,
Erode,100,
Chandigarh,100,
Aurangabad,100,
Visakhapatnam,100,
Kochi,100,
Kanpur,100,
Asansol,100,
Vadodara,100,
Madurai,100,
Meerut,100,
Kottayam,100,
Mangaluru,100,
Surat,100,
Thiruvananthapuram,100,
Indore,100,
Nashik,100,
Amaravati region,100,
Hubli,100,
Kannur,100,
Jamnagar,100,
Ludhiana,100,
Tiruchirappalli,100,
Malappuram,100,
Solapur,100,
